ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
515620.SH,建信中证800ETF,建信中证800ETF,建信中证800交易型开放式指数证券投资基金,,,20200417,20200525,D,SH,建信基金,中国国际金融股份有限公司,,纯境内,中证800指数收益率×100%,20210608,中证800,000906.SH,中证800指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515670.SH,中银中证100ETF,中银中证100ETF,中银中证100交易型开放式指数证券投资基金,,,20200417,20200520,D,SH,中银基金,中信证券股份有限公司,,纯境内,中证100指数收益率×100%,20240628,中证100,,,,0,False,ambiguous_or_non_theme_or_unmatched
515690.SH,鹏华中证高股息龙头ETF,鹏华中证高股息龙头ETF,鹏华中证高股息龙头交易型开放式指数证券投资基金,,,20200320,20200513,D,SH,鹏华基金,中信证券股份有限公司,,纯境内,中证高股息龙头指数收益率×100%,20220426,中证高股息龙头,931373.CSI,中证高股息龙头指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515780.SH,浦银安盛MSCI中国A股ETF,浦银安盛MSCI中国A股ETF,浦银安盛MSCI中国A股交易型开放式指数证券投资基金,,,20200430,20200529,D,SH,浦银安盛基金,中国银行股份有限公司,,纯境内,MSCI中国A股人民币指数收益率×100%,20250530,MSCI中国A股,,,,0,False,ambiguous_or_non_theme_or_unmatched
515820.SH,富国中证800ETF,富国中证800ETF,富国中证800交易型开放式指数证券投资基金,,,20200513,20200529,D,SH,富国基金,中国工商银行股份有限公司,,纯境内,中证800指数收益率×100%,20230322,中证800,000906.SH,中证800指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515830.SH,工银瑞信中证800ETF,工银瑞信中证800ETF,工银瑞信中证800交易型开放式指数证券投资基金,,,20200601,20200717,D,SH,工银瑞信基金,兴业银行股份有限公司,,纯境内,中证800指数收益率×100%,20220615,中证800,000906.SH,中证800指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515870.SH,嘉实中证先进制造100策略ETF,嘉实中证先进制造100策略ETF,嘉实中证先进制造100策略交易型开放式指数证券投资基金,,,20191205,20200117,D,SH,嘉实基金,中国银行股份有限公司,,纯境内,中证先进制造100策略指数收益率×100%,20230316,中证先进制造100策略,931167.CSI,中证先进制造100策略指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515930.SH,永赢沪深300ETF,永赢沪深300ETF,永赢沪深300交易型开放式指数证券投资基金,,,20200413,20200508,D,SH,永赢基金,中国工商银行股份有限公司,,纯境内,沪深300指数收益率×100%,20230731,沪深300,000300.SH,沪深300指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
516400.SH,富国中证ESG120策略ETF,富国中证ESG120策略ETF,富国中证ESG120策略交易型开放式指数证券投资基金,,,20210616,20210701,D,SH,富国基金,华夏银行股份有限公司,,纯境内,中证ESG120策略指数×100%,20220126,中证ESG120策略,931476.CSI,中证ESG120策略指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
516480.SH,国联安中证新材料主题ETF,国联安中证新材料主题ETF,国联安中证新材料主题交易型开放式指数证券投资基金,,,20210527,20210611,D,SH,国联安基金,国泰海通证券股份有限公司,,纯境内,中证新材料主题指数×100%,20251014,中证新材料主题,H30597.CSI,中证新材料主题指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
516680.SH,建信中证细分有色金属产业主题ETF,建信中证细分有色金属产业主题ETF,建信中证细分有色金属产业主题交易型开放式指数证券投资基金,,,20210218,20210308,D,SH,建信基金,中国国际金融股份有限公司,,纯境内,中证细分有色金属产业主题指数收益率×100%,20221130,中证细分有色金属产业主题,000811.CSI,中证细分有色金属产业主题指数,materials,1,True,exact_normalized_benchmark
516690.SH,银华中证细分化工产业主题ETF,银华中证细分化工产业主题ETF,银华中证细分化工产业主题交易型开放式指数证券投资基金,,,20211207,20211221,D,SH,银华基金,中国工商银行股份有限公司,,纯境内,中证细分化工产业主题指数收益率×100%,20240827,中证细分化工产业主题,000813.CSI,中证细分化工产业主题指数,materials,1,True,exact_normalized_benchmark
516870.SH,银华中证800汽车与零部件ETF,银华中证800汽车与零部件ETF,银华中证800汽车与零部件交易型开放式指数证券投资基金,,,20210624,20210709,D,SH,银华基金,招商银行股份有限公司,,纯境内,中证800汽车与零部件指数收益率×100%,20220126,中证800汽车与零部件,H30015.CSI,中证800汽车与零部件指数,automotive,1,True,exact_normalized_benchmark
